PC1,PC2,label,cluster
-5.140477720483614,-5.226445398762014,1,7
19.29233233508731,6.032996007703511,0,9
-7.644503405261458,-1.7058132784012607,1,7
-0.4742066590535115,5.836139245155481,4,5
26.559574443149188,6.02481843855173,0,9
1.2691972317857694,-0.7137882389096417,0,8
-6.139613165196843,6.028415928484273,7,2
0.1477920663330731,4.2385708291651145,3,8
-0.5981381437110931,-1.6718370358838586,5,8
2.9406835532236277,-2.182600688697046,3,0
0.5309702862153051,-5.800593705234219,8,4
-5.089862434656906,-2.840312631972056,9,4
-8.135130152768605,-1.7890003567254056,1,7
0.9434641839894452,14.066481434062554,3,0
6.205128873511191,0.7647634747603602,3,8
-8.023728037907807,-1.0428983902578117,1,7
0.44017798584957213,6.019213300314095,2,0
8.393429958648513,-10.119340082280631,0,3
-6.819947363126492,1.371945118195323,7,2
11.687632383293616,5.757946224209244,5,0
-3.688248215564199,-5.424840956450068,8,4
4.6755879176407245,-7.264464309588598,6,1
0.3003970630910149,-0.30370235566793874,2,8
20.91380771814743,4.189701778744125,0,9
-1.7774424144031122,7.059801809983736,2,0
1.8552423326940293,-4.2769133400101875,3,8
-0.7218529700180584,-0.9585617099477453,6,1
-7.00469382700093,-2.8197281992928596,9,4
-6.991132009823974,0.34261626310639665,9,2
-2.3449428620758375,13.842256454596278,7,6
-2.8749547256668193,-8.108554056516276,8,4
-2.9954513607566176,4.291346292814626,9,5
3.2283856647398608,-0.5748567026297254,4,5
-3.7331376567784167,-1.002159212150758,9,2
-0.3976388051187198,1.9170592026668631,2,1
-6.047134704257914,0.015523460180975862,1,7
-4.103510633140698,1.6463363918564617,3,8
-7.244925916916198,-3.007046538517101,1,7
-7.402990895850761,-2.965696197899199,1,7
-2.652959551161207,0.12206127757047987,4,5
-3.7476740831297923,-0.66942082722334,9,8
-7.6157507226232095,-2.264314925344729,1,7
2.8255632637176307,5.784110052912727,4,5
3.74346192601376,1.3420046833194366,4,5
-1.5662699442438184,3.179959836981825,2,7
-1.2697209955782662,-4.945258598539877,6,1
-3.727501491241236,0.15076945788568227,3,8
-5.825883419595857,9.418269499261877,7,2
-5.428456782486028,-2.4481964847930016,7,2
1.6098417191362446,2.09867400016344,4,5
-5.780616695616322,5.617928039570925,7,5
9.742523936103742,7.619542545020056,5,0
-7.686714765323028,-1.7671397980276276,1,7
-1.4386314261220297,10.981313388039824,9,5
17.603899620701842,-5.153654290648607,0,9
-4.346579131944748,1.617398882214119,2,7
-1.9761318019241467,2.936175866532643,2,0
-0.11681738706359282,2.2201906004016516,3,8
-6.697346968153645,-1.8989344299012145,9,2
-7.8656338839415945,-1.7287869244837322,1,7
-2.67551321974473,0.5627740488365567,1,1
-2.7577534166771644,-5.031667519205129,1,4
1.9877860607847095,3.8125587578771425,5,5
13.24085549784433,-6.570551540463369,0,9
6.700055530861389,1.170373506936794,6,1
-4.148682345796128,0.3078511728164039,3,8
-0.4188697389060664,8.503896491345108,4,5
3.581690071404536,16.94115595953736,8,6
-7.269828346763523,-4.218019759477085,1,7
-1.7644039905442446,-0.7917308770630616,0,8
-0.7087498437741736,-6.072676082465839,3,3
-7.289273161424474,1.2243949319721061,9,7
13.47568572713137,5.742981221616203,6,9
11.153839661833963,-7.104453659593707,2,3
-5.190080991740564,-6.21795666121304,6,7
-0.8280510954638447,-2.808095231500358,4,4
-5.731078997309327,3.3715875210345496,7,2
-7.335882855217731,-1.3474343414276908,1,7
-0.26867398240663715,7.749192863961938,4,5
-8.158282942143087,-2.931445581629144,1,7
-4.417192653330252,-4.254645427671955,5,7
1.4200603882719653,-1.972292883485117,4,4
-2.8736696583587102,-5.649702125644267,8,4
-5.9471817054676,0.9411821960321911,9,2
-2.819391773324977,-1.8968357373981952,2,7
-6.230496939417792,3.41888206835442,9,7
-5.291139418259267,1.3041558766446073,9,2
-2.032187447413915,4.965378710564154,8,5
-3.2633435815810685,4.355451342657877,9,5
5.13447833368938,7.538870426849515,6,0
-0.07923861162346468,5.375598761567941,3,8
3.5404887626344115,-5.585521330254599,6,1
-5.596960810597707,2.7286911276132058,4,5
-4.883615183841829,-1.3528312969332015,6,1
4.586839974449824,4.759456908384537,2,5
-5.463438408097505,-0.024033696879152737,9,2
-8.131108106283156,-1.4119054235091666,1,7
7.884959450930537,6.598081411631008,2,0
10.732422471021389,-11.355895258051829,0,9
11.069998744009945,-7.681797259807457,5,3
0.3352650358362987,1.9565383089400588,9,2
1.730962513324334,1.6611687069138348,2,0
